strategy,project,bug,apfd,n_tests,n_trigger_tests
Random,Chart,3,0.4472868217054263,86,1
Random,Chart,5,0.4960045662100457,292,1
Random,Chart,7,0.4395833333333333,16,1
Random,Chart,9,0.5098958333333333,64,1
Random,Chart,10,0.5,1,1
Random,Chart,12,0.4502487562189055,201,1
Random,Chart,14,0.8242774566473988,519,4
Random,Chart,19,0.6768670309653916,366,2
Random,Lang,8,0.5568452380952381,112,1
Random,Lang,10,0.4978494623655913,124,1
Random,Lang,21,0.5083333333333333,116,1
Random,Lang,22,0.724,25,2
Random,Lang,24,0.4393939393939394,110,1
Random,Lang,29,0.4999999999999999,637,1
Random,Lang,30,0.9084765177548684,582,10
Random,Lang,32,0.5133333333333333,45,1
Random,Lang,33,0.4915032679738562,255,1
Random,Lang,34,0.9706280193236716,345,27
Random,Lang,36,0.6466666666666667,110,2
Random,Lang,42,0.5333333333333334,54,1
Random,Lang,44,0.3783333333333333,20,1
Random,Lang,50,0.7380952380952379,35,2
Random,Lang,56,0.494949494949495,33,1
Random,Lang,61,0.597117117117117,185,2
Random,Lang,63,0.575,16,1
Random,Lang,65,0.5466666666666667,30,1
History-based,Chart,3,0.6569767441860466,86,1
History-based,Chart,5,0.8544520547945205,292,1
History-based,Chart,7,0.40625,16,1
History-based,Chart,9,0.8046875,64,1
History-based,Chart,10,0.5,1,1
History-based,Chart,12,0.6940298507462688,201,1
History-based,Chart,14,0.2591522157996146,519,4
History-based,Chart,19,0.4467213114754099,366,2
History-based,Lang,8,0.9151785714285714,112,1
History-based,Lang,10,0.6330645161290323,124,1
History-based,Lang,21,0.7025862068965517,116,1
History-based,Lang,22,0.18,25,2
History-based,Lang,24,0.7227272727272728,110,1
History-based,Lang,29,0.5361067503924647,637,1
History-based,Lang,30,0.9115120274914088,582,10
History-based,Lang,32,0.1222222222222222,45,1
History-based,Lang,33,0.2058823529411765,255,1
History-based,Lang,34,0.381159420289855,345,27
History-based,Lang,36,0.859090909090909,110,2
History-based,Lang,42,0.675925925925926,54,1
History-based,Lang,44,0.375,20,1
History-based,Lang,50,0.1857142857142856,35,2
History-based,Lang,56,0.4393939393939393,33,1
History-based,Lang,61,0.4351351351351351,185,2
History-based,Lang,63,0.34375,16,1
History-based,Lang,65,0.0499999999999999,30,1
Random Forest,Chart,3,0.6569767441860466,86,1
Random Forest,Chart,5,0.9263698630136986,292,1
Random Forest,Chart,7,0.40625,16,1
Random Forest,Chart,9,0.8359375,64,1
Random Forest,Chart,10,0.5,1,1
Random Forest,Chart,12,0.8034825870646767,201,1
Random Forest,Chart,14,0.3015414258188824,519,4
Random Forest,Chart,19,0.5068306010928961,366,2
Random Forest,Lang,8,0.9151785714285714,112,1
Random Forest,Lang,10,0.6330645161290323,124,1
Random Forest,Lang,21,0.7025862068965517,116,1
Random Forest,Lang,22,0.18,25,2
Random Forest,Lang,24,0.35,110,1
Random Forest,Lang,29,0.2519623233908948,637,1
Random Forest,Lang,30,0.7293814432989691,582,10
Random Forest,Lang,32,0.1222222222222222,45,1
Random Forest,Lang,33,0.1431372549019608,255,1
Random Forest,Lang,34,0.1985507246376811,345,27
Random Forest,Lang,36,0.3681818181818181,110,2
Random Forest,Lang,42,0.675925925925926,54,1
Random Forest,Lang,44,0.375,20,1
Random Forest,Lang,50,0.1857142857142856,35,2
Random Forest,Lang,56,0.4393939393939393,33,1
Random Forest,Lang,61,0.4351351351351351,185,2
Random Forest,Lang,63,0.34375,16,1
Random Forest,Lang,65,0.0499999999999999,30,1
