scope,strategy,mean,median,std,min,q25,q75,max,n_bugs
Geral,History-based,0.5087,0.4677,0.2874,0.0087,0.3,0.75,0.9955,81
Geral,Random,0.5896,0.5397,0.1455,0.3571,0.4949,0.6583,0.9706,81
Geral,Random Forest,0.6741,0.7857,0.2917,0.0417,0.4451,0.9224,0.9995,81
Lang,History-based,0.4738,0.4394,0.2733,0.05,0.3406,0.6525,0.9955,17
Lang,Random,0.5867,0.5467,0.1299,0.4477,0.4951,0.6392,0.9706,17
Lang,Random Forest,0.5794,0.5625,0.2873,0.1638,0.3167,0.8405,0.964,17
Chart,History-based,0.5786,0.5785,0.2081,0.2592,0.4387,0.7217,0.8579,8
Chart,Random,0.543,0.498,0.1366,0.4396,0.4495,0.5516,0.8243,8
Chart,Random Forest,0.609,0.5833,0.2108,0.3015,0.4766,0.8116,0.8579,8
Math,History-based,0.5174,0.4905,0.2946,0.0556,0.2786,0.7733,0.9862,28
Math,Random,0.5458,0.5185,0.105,0.3926,0.4902,0.5551,0.8412,28
Math,Random Forest,0.64,0.7566,0.3042,0.0417,0.3493,0.9027,0.9972,28
Time,History-based,0.5032,0.5259,0.3614,0.0087,0.2282,0.7779,0.9753,7
Time,Random,0.6819,0.6268,0.1812,0.4399,0.562,0.8343,0.9142,7
Time,Random Forest,0.777,0.8339,0.3168,0.0872,0.7937,0.9662,0.9981,7
Mockito,History-based,0.6141,0.7169,0.3807,0.0948,0.3195,0.9539,0.9798,8
Mockito,Random,0.7278,0.776,0.2161,0.3571,0.5951,0.9119,0.9516,8
Mockito,Random Forest,0.7028,0.9434,0.3809,0.1499,0.363,0.9836,0.9995,8
Compress,History-based,0.4307,0.3863,0.2476,0.0661,0.3029,0.5357,0.8422,13
Compress,Random,0.5819,0.5507,0.125,0.4577,0.4991,0.6583,0.9111,13
Compress,Random Forest,0.8383,0.9224,0.1845,0.4451,0.7667,0.9829,0.9916,13
