project,bug,apfd,n_tests,n_trigger_tests
Chart,1,0.9644495412844036,436,1
Chart,2,0.9306306306306307,555,2
Chart,3,0.6569767441860466,86,1
Chart,4,0.9408352668213457,431,22
Chart,5,0.8544520547945205,292,1
Chart,6,0.5010288065843621,486,2
Chart,7,0.40625,16,1
Chart,8,0.8913043478260869,23,1
Chart,9,0.8046875,64,1
Chart,10,0.5,1,1
Chart,11,0.625230202578269,543,1
Chart,12,0.6940298507462688,201,1
Chart,13,0.002564102564102564,195,1
Chart,14,0.25915221579961467,519,4
Chart,15,0.6708542713567839,199,1
Chart,16,0.9,25,8
Chart,17,0.8083333333333333,60,1
Chart,18,0.9281345565749235,327,4
Chart,19,0.4467213114754099,366,2
Chart,20,0.9070945945945945,296,1
Chart,21,0.20588235294117652,17,1
Chart,22,0.3235294117647059,51,6
Chart,23,0.5,5,1
Chart,24,0.3666666666666667,15,1
Chart,25,0.8333333333333334,9,4
Chart,26,0.9548802946593002,543,22
Lang,1,,172,0
Lang,3,0.375,172,1
Lang,4,0.41970802919708033,137,1
Lang,5,0.5,13,1
Lang,6,0.6866197183098591,142,1
Lang,7,0.8644578313253013,166,1
Lang,8,0.9151785714285714,112,1
Lang,9,0.628,125,1
Lang,10,0.6330645161290323,124,1
Lang,11,0.6818181818181818,11,1
Lang,12,0.8500000000000001,10,2
Lang,13,0.18789808917197448,157,1
Lang,14,0.7622850122850122,814,1
Lang,15,0.55,10,2
Lang,16,0.8567073170731707,164,1
Lang,17,0.3444444444444445,45,1
Lang,19,0.328125,32,2
Lang,20,0.5752136752136752,585,2
Lang,21,0.7025862068965517,116,1
Lang,22,0.18000000000000002,25,2
Lang,23,0.5625,8,1
Lang,24,0.7227272727272728,110,1
Lang,26,0.586021505376344,93,1
Lang,27,0.859090909090909,110,1
Lang,28,0.32500000000000007,20,1
Lang,29,0.5361067503924647,637,1
Lang,30,0.9115120274914089,582,10
Lang,31,0.9115586690017514,571,2
Lang,32,0.12222222222222227,45,1
Lang,33,0.20588235294117652,255,1
Lang,34,0.381159420289855,345,27
Lang,35,0.555207026348808,797,1
Lang,36,0.859090909090909,110,2
Lang,37,0.5737082066869301,658,1
Lang,38,0.652542372881356,59,1
Lang,39,0.34703632887189295,523,1
Lang,40,0.8982558139534884,516,1
Lang,41,0.06431535269709544,241,2
Lang,42,0.675925925925926,54,1
Lang,43,0.5,7,1
Lang,44,0.375,20,1
Lang,45,0.9939024390243902,82,1
Lang,46,0.6379310344827587,87,1
Lang,47,0.3405797101449275,207,2
Lang,49,0.18000000000000002,25,1
Lang,50,0.18571428571428567,35,2
Lang,51,0.09736842105263153,190,1
Lang,52,0.6283783783783784,74,1
Lang,53,0.20967741935483875,31,1
Lang,54,0.5416666666666666,12,1
Lang,55,0.7500000000000001,6,1
Lang,56,0.43939393939393934,33,1
Lang,57,0.9545454545454545,11,11
Lang,58,0.5738916256157636,203,1
Lang,59,0.37165775401069523,187,1
Lang,60,0.3736559139784946,186,1
Lang,61,0.43513513513513513,185,2
Lang,62,0.30851063829787234,47,1
Lang,63,0.34375,16,1
Lang,64,0.78,75,1
Lang,65,0.04999999999999999,30,1
