project,bug,apfd_mean,apfd_std,n_tests,n_trigger_tests
Chart,1,0.4783639143730886,0.34400449777258724,436,1
Chart,2,0.7069069069069069,0.22057990871760522,555,2
Chart,3,0.44728682170542633,0.2510952739253675,86,1
Chart,4,0.9465583913379735,0.04606538530076649,431,22
Chart,5,0.49600456621004574,0.3170344046677943,292,1
Chart,6,0.7740054869684501,0.19943176025650242,486,2
Chart,7,0.4395833333333333,0.28273474632879697,16,1
Chart,8,0.5246376811594203,0.30800614198349124,23,1
Chart,9,0.5098958333333333,0.2900541684199972,64,1
Chart,10,0.5,0.0,1,1
Chart,11,0.6135052179251075,0.20682518039934877,543,1
Chart,12,0.4502487562189055,0.2761947382542608,201,1
Chart,13,0.43777777777777777,0.2889227540547392,195,1
Chart,14,0.8242774566473988,0.14497005166990254,519,4
Chart,15,0.6092127303182581,0.2782671742629256,199,1
Chart,16,0.8693333333333335,0.10435130762141341,25,8
Chart,17,0.49444444444444446,0.29056304613686174,60,1
Chart,18,0.816921508664628,0.1483373019287751,327,4
Chart,19,0.6768670309653916,0.24275957035258877,366,2
Chart,20,0.5711711711711711,0.2672031277935364,296,1
Chart,21,0.5274509803921569,0.2775166148233342,17,1
Chart,22,0.8464052287581697,0.11666633522868511,51,6
Chart,23,0.5066666666666667,0.29934795038934014,5,1
Chart,24,0.4488888888888889,0.327387585144533,15,1
Chart,25,0.8222222222222219,0.14978343952826637,9,4
Chart,26,0.9569674647022712,0.0329003359024624,543,22
Lang,1,,,172,0
Lang,3,0.4304263565891473,0.2846104172119284,172,1
Lang,4,0.49124087591240884,0.2855987275322579,137,1
Lang,5,0.43846153846153846,0.25822522985329927,13,1
Lang,6,0.465492957746479,0.2867777570127155,142,1
Lang,7,0.5238955823293172,0.2931568499304891,166,1
Lang,8,0.5568452380952381,0.2998058005816388,112,1
Lang,9,0.4477333333333335,0.2831993246306643,125,1
Lang,10,0.49784946236559136,0.29065210668916297,124,1
Lang,11,0.4545454545454545,0.285240620277434,11,1
Lang,12,0.6666666666666666,0.2229633236166005,10,2
Lang,13,0.5280254777070064,0.2802477885836734,157,1
Lang,14,0.5543407043407044,0.3322256788152469,814,1
Lang,15,0.7200000000000002,0.20367316617730888,10,2
Lang,16,0.49186991869918706,0.2681783691273053,164,1
Lang,17,0.49111111111111116,0.3281902074415634,45,1
Lang,19,0.6677083333333333,0.17899784882801656,32,2
Lang,20,0.6554415954415954,0.262946050622393,585,2
Lang,21,0.5083333333333333,0.2758503019686171,116,1
Lang,22,0.724,0.20222213801522393,25,2
Lang,23,0.49166666666666664,0.26196236678041257,8,1
Lang,24,0.43939393939393945,0.29303769958647025,110,1
Lang,26,0.5275985663082438,0.24560003629859947,93,1
Lang,27,0.5054545454545455,0.2770231159715,110,1
Lang,28,0.37833333333333335,0.2828223925843327,20,1
Lang,29,0.49999999999999994,0.30105797959601915,637,1
Lang,30,0.9084765177548684,0.09339121000344995,582,10
Lang,31,0.6391710449503795,0.2641030606320626,571,2
Lang,32,0.5133333333333333,0.25741287424021003,45,1
Lang,33,0.4915032679738562,0.26175949344803023,255,1
Lang,34,0.9706280193236716,0.02150947605379627,345,27
Lang,35,0.5414889167712255,0.2977856917177283,797,1
Lang,36,0.6466666666666667,0.22578804504294844,110,2
Lang,37,0.5030395136778116,0.3482394207481302,658,1
Lang,38,0.5666666666666667,0.3229380194318443,59,1
Lang,39,0.42842574888463986,0.2704422020574242,523,1
Lang,40,0.516343669250646,0.2744019980668441,516,1
Lang,41,0.6831258644536651,0.2477068852447095,241,2
Lang,42,0.5333333333333334,0.29293067749438906,54,1
Lang,43,0.4809523809523809,0.31102955713137,7,1
Lang,44,0.37833333333333335,0.2828223925843327,20,1
Lang,45,0.5121951219512196,0.2612177884834119,82,1
Lang,46,0.49157088122605364,0.3355596017345739,87,1
Lang,47,0.7354267310789051,0.20259662508123308,207,2
Lang,49,0.5266666666666666,0.30068121890517013,25,1
Lang,50,0.7380952380952379,0.19856392704168196,35,2
Lang,51,0.49508771929824574,0.31439706128870476,190,1
Lang,52,0.49459459459459454,0.25692470104586307,74,1
Lang,53,0.5548387096774193,0.30084145272276375,31,1
Lang,54,0.42777777777777776,0.28574307691098005,12,1
Lang,55,0.44444444444444453,0.2665349291456217,6,1
Lang,56,0.494949494949495,0.257386165805297,33,1
Lang,57,0.9545454545454543,2.2584051416334807e-16,11,11
Lang,58,0.43776683087027923,0.30804713299020137,203,1
Lang,59,0.5301247771836007,0.24814250300307752,187,1
Lang,60,0.6218637992831542,0.3455114019701628,186,1
Lang,61,0.597117117117117,0.2579776079469434,185,2
Lang,62,0.526950354609929,0.31784685882368036,47,1
Lang,63,0.575,0.2776469399720841,16,1
Lang,64,0.48888888888888893,0.29925236768616,75,1
Lang,65,0.5466666666666667,0.3124921454951606,30,1
