project,bug,apfd,n_tests,n_trigger_tests
Chart,3,0.6569767441860466,86,1
Chart,5,0.857876712328767,292,1
Chart,7,0.40625,16,1
Chart,9,0.8359375,64,1
Chart,10,0.5,1,1
Chart,12,0.8034825870646767,201,1
Chart,14,0.30154142581888244,519,4
Chart,19,0.5095628415300546,366,2
Compress,3,0.44512195121951215,82,1
Compress,10,0.6714285714285714,35,1
Compress,13,0.8106796116504854,103,2
Compress,15,0.9567307692307692,104,1
Compress,18,0.9224137931034483,174,1
Compress,21,0.7666666666666667,15,8
Compress,24,0.971311475409836,122,1
Compress,28,,273,0
Compress,33,0.5357142857142857,42,1
Compress,34,0.9828767123287672,146,1
Compress,38,0.8690476190476191,126,1
Compress,41,0.9916387959866221,299,2
Compress,44,0.9838709677419355,31,3
Compress,47,0.9902234636871509,358,1
Lang,9,0.964,125,1
Lang,11,0.6818181818181818,11,1
Lang,22,0.18000000000000002,25,2
Lang,23,0.5625,8,1
Lang,31,0.6155866900175132,571,2
Lang,32,0.21111111111111105,45,1
Lang,34,0.16376811594202897,345,27
Lang,35,0.26160602258469257,797,1
Lang,36,0.5499999999999999,110,2
Lang,38,0.9576271186440678,59,1
Lang,42,0.5092592592592593,54,1
Lang,47,0.8091787439613527,207,2
Lang,51,0.8657894736842106,190,1
Lang,56,0.9545454545454546,33,1
Lang,61,0.8405405405405405,185,2
Lang,63,0.40625,16,1
Lang,65,0.3166666666666667,30,1
Math,8,0.2045454545454545,22,1
Math,9,0.8428571428571427,35,1
Math,11,0.55,10,1
Math,17,0.8238636363636364,88,1
Math,18,0.5961538461538461,26,1
Math,22,,63,0
Math,25,0.6428571428571428,7,1
Math,26,0.9272300469483569,213,1
Math,27,0.9178403755868545,213,1
Math,28,0.3269230769230769,26,1
Math,33,0.30357142857142855,28,1
Math,37,0.35674157303370785,178,4
Math,40,0.9197530864197532,81,1
Math,41,,151,0
Math,43,0.8962264150943396,53,3
Math,46,0.9014598540145986,137,2
Math,50,0.875,4,1
Math,57,0.16666666666666666,3,1
Math,67,0.75,2,1
Math,69,0.6333333333333333,15,1
Math,70,0.90625,16,1
Math,73,0.997191011235955,178,1
Math,75,0.3125,8,1
Math,78,,101,0
Math,88,0.5,15,1
Math,89,0.7857142857142857,7,1
Math,95,0.7631578947368421,19,1
Math,99,0.95375,400,2
Math,102,0.9705882352941176,17,4
Math,103,0.041666666666666664,12,1
Math,105,0.05555555555555555,9,1
Mockito,1,0.9797592997811816,914,19
Mockito,3,0.9950711938663747,913,8
Mockito,4,0.1905705229793978,1262,4
Mockito,12,0.975,20,10
Mockito,18,0.9995283018867924,1060,1
Mockito,21,0.9117647058823529,17,1
Mockito,22,,530,0
Mockito,26,0.1499302649930265,717,2
Mockito,32,0.42050438596491224,912,1
Time,4,0.7733766233766234,770,1
Time,5,0.9402564102564102,1950,3
Time,8,0.9981012658227848,3950,1
Time,20,0.9920450135816841,2577,1
Time,22,0.8338666666666666,1875,2
Time,24,0.08718689788053952,1038,7
Time,26,0.8140179514255544,3788,8
